,dataset,graph,representation,index,train accuracy,validation accuracy
117,AnghaBestSeqsSBLP2021_500_inst2vec_TVT,cdfgcallcompact1enoroot,all_features_bag_of_words_O0,round2,0.3919999897480011,0.30399999022483826
118,AnghaBestSeqsSBLP2021_500_inst2vec_TVT,cdfgcallcompact1enoroot,all_features_ir2vec_O0,round2,0.3213333189487457,0.3019999861717224
119,AnghaBestSeqsSBLP2021_500_inst2vec_TVT,cfgcallnoroot,all_features_inst2vec_O0,round2,0.2840000092983246,0.2759999930858612
120,AnghaBestSeqsSBLP2021_500_inst2vec_TVT,cfgcallnoroot,all_features_ir2vec_O0,round2,0.23266667127609253,0.22200000286102295
121,AnghaBestSeqsSBLP2021_500_inst2vec_TVT,cfgcallnoroot,all_features_bag_of_words,round2,0.2853333353996277,0.30000001192092896
122,AnghaBestSeqsSBLP2021_500_inst2vec_TVT,inst2vec,all_features_O0,round2,0.21199999749660492,0.20000000298023224
123,AnghaBestSeqsSBLP2021_500_inst2vec_TVT,lbp,all_features_O0,round2,0.23333333432674408,0.23600000143051147
124,AnghaBestSeqsSBLP2021_500_inst2vec_TVT,milepost,all_features_O0,round2,0.3153333365917206,0.2939999997615814
125,AnghaBestSeqsSBLP2021_500_inst2vec_TVT,cdfgcallnoroot,all_features_inst2vec_O0,round2,0.23466666042804718,0.2460000067949295
126,AnghaBestSeqsSBLP2021_500_inst2vec_TVT,cdfgcallnoroot,all_features_bag_of_words_O0,round2,0.2939999997615814,0.27000001072883606
127,AnghaBestSeqsSBLP2021_500_inst2vec_TVT,cdfgcallnoroot,all_features_ir2vec_O0,round2,0.28600001335144043,0.28999999165534973
128,AnghaBestSeqsSBLP2021_500_inst2vec_TVT,cdfg_plus,all_features_inst2vec_O0,round2,0.2540000081062317,0.23399999737739563
129,AnghaBestSeqsSBLP2021_500_inst2vec_TVT,cdfg_plus,all_features_bag_of_words_O0,round2,0.2540000081062317,0.2720000147819519
130,AnghaBestSeqsSBLP2021_500_inst2vec_TVT,cdfg_plus,all_features_ir2vec_O0,round2,0.22066666185855865,0.24400000274181366
131,AnghaBestSeqsSBLP2021_500_inst2vec_TVT,cfgcallcompact1enoroot,all_features_inst2vec_O0,round1,0.3293333351612091,0.3019999861717224
132,AnghaBestSeqsSBLP2021_500_inst2vec_TVT,cfgcallcompact1enoroot,all_features_bag_of_words_O0,round1,0.31933334469795227,0.28600001335144043
133,AnghaBestSeqsSBLP2021_500_inst2vec_TVT,cfgcallcompact1enoroot,all_features_ir2vec_O0,round1,0.2939999997615814,0.3140000104904175
134,AnghaBestSeqsSBLP2021_500_inst2vec_TVT,llvm_histogram,all_features_O0,round1,0.38733333349227905,0.3479999899864197
135,AnghaBestSeqsSBLP2021_500_inst2vec_TVT,programl,all_features_inst2vec_O0,round1,0.2919999957084656,0.27000001072883606
136,AnghaBestSeqsSBLP2021_500_inst2vec_TVT,programl,all_features_bag_of_words_O0,round1,0.28733333945274353,0.27000001072883606
137,AnghaBestSeqsSBLP2021_500_inst2vec_TVT,programl,all_features_ir2vec_O0,round1,0.22466666996479034,0.2460000067949295
138,AnghaBestSeqsSBLP2021_500_inst2vec_TVT,rbp,all_features_O0,round1,0.2199999988079071,0.2199999988079071
139,AnghaBestSeqsSBLP2021_500_inst2vec_TVT,ir2vec.program,all_features_O0,round1,0.437333345413208,0.3840000033378601
140,AnghaBestSeqsSBLP2021_500_inst2vec_TVT,prog2image,all_features_O0,round1,0.9893333315849304,0.3100000023841858
141,AnghaBestSeqsSBLP2021_500_inst2vec_TVT,inst2vec.lower,all_features_O0,round1,0.23466666042804718,0.23399999737739563
142,AnghaBestSeqsSBLP2021_500_inst2vec_TVT,cdfgcallcompact1enoroot,all_features_inst2vec_O0,round1,0.27133333683013916,0.27000001072883606
143,AnghaBestSeqsSBLP2021_500_inst2vec_TVT,cdfgcallcompact1enoroot,all_features_bag_of_words_O0,round1,0.33000001311302185,0.32199999690055847
144,AnghaBestSeqsSBLP2021_500_inst2vec_TVT,cdfgcallcompact1enoroot,all_features_ir2vec_O0,round1,0.31333333253860474,0.27399998903274536
145,AnghaBestSeqsSBLP2021_500_inst2vec_TVT,cfgcallnoroot,all_features_inst2vec_O0,round1,0.26733332872390747,0.2460000067949295
146,AnghaBestSeqsSBLP2021_500_inst2vec_TVT,cfgcallnoroot,all_features_ir2vec_O0,round1,0.2633333206176758,0.257999986410141
147,AnghaBestSeqsSBLP2021_500_inst2vec_TVT,cfgcallnoroot,all_features_bag_of_words,round1,0.30133333802223206,0.27799999713897705
148,AnghaBestSeqsSBLP2021_500_inst2vec_TVT,inst2vec,all_features_O0,round1,0.20733332633972168,0.20000000298023224
149,AnghaBestSeqsSBLP2021_500_inst2vec_TVT,lbp,all_features_O0,round1,0.21799999475479126,0.21199999749660492
